Year,Month,tmax(degC),tmin(degC),ppt(mm)
2005,1,-32.7,-38.2,230
2005,2,-29,-34.3,247
2005,3,-27.9,-33.5,151
2005,4,-27.1,-31.4,38
2005,5,-18.7,-21.7,32
2005,6,-10.2,-13.5,33
2005,7,-5.7,-10,107
2005,8,-10.6,-14.7,37
2005,9,-20.1,-22.6,46
2005,10,-30.9,-30.5,38
2005,11,-31.7,-33.7,158
2005,12,-32.1,-36.5,66
2006,1,-34.6,-40.2,126
2006,2,-31.2,-36.6,92
2006,3,-31.2,-36.8,41
2006,4,-29.5,-33.8,41
2006,5,-18.4,-21.4,29
2006,6,-12.4,-15.7,56
2006,7,-8.2,-12.5,38
2006,8,-9.2,-13.2,128
2006,9,-17.3,-19.8,34
2006,10,-28.1,-27.6,40
2006,11,-35.5,-37.5,44
2006,12,-32.4,-36.9,104
2007,1,-33.7,-39.3,178
2007,2,-30,-35.4,53
2007,3,-32.6,-38.2,82
2007,4,-28.2,-32.6,56
2007,5,-19.8,-22.8,20
2007,6,-9.4,-12.7,89
2007,7,-7,-11.3,46
2007,8,-9.6,-13.7,73
2007,9,-19.3,-21.9,77
2007,10,-30.1,-29.6,55
2007,11,-33.7,-35.7,123
2007,12,-33.6,-38.1,82
2008,1,-35.3,-40.9,66
2008,2,-32.9,-38.3,130
2008,3,-32.5,-38.1,108
2008,4,-27.8,-32.1,47
2008,5,-19,-22,28
2008,6,-9.8,-13.1,105
2008,7,-7.2,-11.5,57
2008,8,-9.4,-13.4,95
2008,9,-16.9,-19.4,99
2008,10,-30.5,-30.1,83
2008,11,-34.3,-36.3,118
2008,12,-32.6,-37,136
2009,1,-31.7,-37.3,60
2009,2,-34,-39.4,45
2009,3,-34.4,-40,47
2009,4,-29.3,-33.6,42
2009,5,-18.1,-21.1,26
2009,6,-11.6,-14.9,89
2009,7,-6,-10.3,50
2009,8,-10.4,-14.4,41
2009,9,-19.4,-22,64
2009,10,-30.8,-30.3,41
2009,11,-34.4,-36.4,33
2009,12,-30,-34.5,115
2010,1,-30,-35.5,231
2010,2,-30.5,-35.8,88
2010,3,-30.9,-36.5,70
2010,4,-27.7,-32,25
2010,5,-16.3,-19.3,57
2010,6,-9.4,-12.7,117
2010,7,-6.6,-10.9,66
2010,8,-7.8,-11.9,165
2010,9,-15.3,-17.8,120
2010,10,-27.7,-27.2,51
2010,11,-32,-34,60
2010,12,-29.6,-34.1,178
2011,1,-33.3,-38.9,122
2011,2,-32.5,-37.7,81
2011,3,-37.5,-43.1,75
2011,4,-30.3,-34.6,32
2011,5,-20.2,-23.2,14
2011,6,-10.4,-13.7,25
2011,7,-4.8,-9.1,77
2011,8,-9.5,-13.4,76
2011,9,-17.6,-20.1,44
2011,10,-32.1,-32.6,55
2011,11,-32.3,-34.3,74
2011,12,-38.8,-43.3,40
2012,1,-34,-39.6,104
2012,2,-33.9,-39.1,143
2012,3,-32.9,-38.5,98
2012,4,-26.1,-30.3,87
2012,5,-18.5,-21.5,49
2012,6,-6.4,-9.6,105
2012,7,-4.2,-8.5,77
2012,8,-7.8,-11.7,116
2012,9,-18.8,-21.3,67
2012,10,-28.7,-29.2,67
2012,11,-34.7,-36.6,63
2012,12,-31.9,-36.4,66
2013,1,-33,-38.6,68
2013,2,-31.5,-36.7,107
2013,3,-32,-37.5,90
2013,4,-30,-34.3,37
2013,5,-21.1,-24.1,34
2013,6,-10.9,-14.2,17
2013,7,-7.3,-11.6,58
2013,8,-11.1,-15,78
2013,9,-18.8,-21.3,82
2013,10,-28.9,-29.4,73
2013,11,-37.2,-39.2,63
2013,12,-35.1,-39.5,49
2014,1,-26.1,-31.6,94
2014,2,-31.8,-37,36
2014,3,-34.1,-39.7,48
2014,4,-28,-32.3,44
2014,5,-21,-24,20
2014,6,-9.6,-12.9,31
2014,7,-6.6,-10.9,61
2014,8,-9.4,-13.3,205
2014,9,-17.7,-20.2,81
2014,10,-30.2,-30.7,30
2014,11,-30.5,-32.4,117
2014,12,-35.1,-39.6,92
2015,1,-34.6,-40.1,94
2015,2,-38.6,-43.8,103
2015,3,-33,-38.5,68
2015,4,-30.8,-35.1,34
2015,5,-21.6,-24.6,24
2015,6,-11.1,-14.3,14
2015,7,-6.9,-11.2,11
2015,8,-10.5,-14.4,86
2015,9,-16.1,-18.6,92
2015,10,-30,-30.5,81
2015,11,-34.9,-36.8,100
2015,12,-37.5,-42,59
2016,1,-32.2,-37.9,94
2016,2,-36.4,-40.5,29
2016,3,-30,-35.3,91
2016,4,-23,-27.9,106
2016,5,-18,-21.2,82
2016,6,-9.5,-12.9,72
2016,7,-7.7,-12.4,20
2016,8,-10,-14.1,115
2016,9,-17.8,-19.7,74
2016,10,-21.4,-20.1,97
2016,11,-31.5,-32.9,80
2016,12,-32.2,-36.4,113
2017,1,-35.1,-41.8,140
2017,2,-31.1,-35.6,88
2017,3,-34.7,-40.2,47
2017,4,-31.4,-36.2,36
2017,5,-15.5,-18.6,75
2017,6,-11.7,-15.3,25
2017,7,-10.1,-15,31
2017,8,-10.2,-13.9,112
2017,9,-13.7,-17,161
2017,10,-22.5,-22.6,115
2017,11,-34.2,-35.7,72
2017,12,-35.6,-39.8,50
2018,1,-37.1,-42,67
2018,2,-31.5,-36.4,76
2018,3,-32.6,-37.1,84
2018,4,-27.8,-31.5,39
2018,5,-21.5,-24.8,30
2018,6,-11,-14.1,73
2018,7,-8,-12.5,131
2018,8,-11.1,-15.1,57
2018,9,-17.7,-20.1,57
2018,10,-33.4,-33.1,41
2018,11,-29.6,-31.4,76
2018,12,-31.6,-35.1,115
2019,1,-35.3,-40.9,97
2019,2,-37.5,-42.7,53
2019,3,-36.3,-41.8,54
2019,4,-21.7,-25.9,69
2019,5,-15.8,-18.8,17
2019,6,-8.2,-11.5,80
2019,7,-4.8,-9.1,43
2019,8,-11.8,-15.7,30
2019,9,-18.6,-21.1,34
2019,10,-28.9,-28.4,49
2019,11,-30.9,-32.8,79
2019,12,-36.2,-40.7,65
